fold_id	train_start	train_end	test_start	test_end	sharpe_annualized	return_total	return_annualized	max_drawdown	hit_rate_bars	n_bars	turnover_annualized	turnover_per_bar	n_trades	trade_win_rate	avg_holding_bars	avg_trade_pnl	n_active_pairs
0	2016-06-01	2017-05-31	2017-06-01	2017-08-29	-1.114665	-0.002651	-0.009813	-0.005039	0.516588	814	26.004914	0.008600	29	0.517241	59.931034	-0.000350	8.000000
1	2016-08-30	2017-08-29	2017-08-30	2017-11-28	-2.811555	-0.010986	-0.040206	-0.013232	0.470769	814	46.437346	0.015356	38	0.236842	41.263158	-0.001476	6.000000
2	2016-11-29	2017-11-28	2017-11-29	2018-03-01	-1.028964	-0.006526	-0.023884	-0.014177	0.490854	819	45.538462	0.015059	38	0.473684	50.315789	-0.000733	6.000000
3	2017-03-02	2018-03-01	2018-03-02	2018-05-31	-3.055736	-0.016582	-0.059871	-0.020071	0.477438	819	33.846154	0.011193	29	0.310345	55.413793	-0.003155	6.000000
4	2017-06-01	2018-05-31	2018-06-01	2018-08-29	0.323457	0.002272	0.008466	-0.011336	0.485437	814	16.717445	0.005528	5	0.600000	87.800000	0.001348	2.000000
5	2017-08-30	2018-08-29	2018-08-30	2018-11-28	-4.681247	-0.029005	-0.103580	-0.030514	0.458787	814	16.098280	0.005324	14	0.285714	115.214286	-0.012262	6.000000
6	2017-11-29	2018-11-28	2018-11-29	2019-03-04	1.423556	0.005535	0.020717	-0.007049	0.511416	814	34.673219	0.011466	29	0.517241	50.275862	0.001458	6.000000
7	2018-03-02	2019-03-04	2019-03-05	2019-06-03	0.779352	0.003053	0.011317	-0.007118	0.505022	819	43.076923	0.014245	36	0.555556	45.666667	0.000888	6.000000
8	2018-06-01	2019-06-03	2019-06-04	2019-08-30	-2.300608	-0.010269	-0.037621	-0.013397	0.463866	814	29.100737	0.009623	25	0.440000	62.480000	-0.002188	6.000000
9	2018-08-30	2019-08-30	2019-09-03	2019-11-29	-3.595480	-0.012222	-0.044657	-0.016243	0.494234	814	22.289926	0.007371	28	0.464286	54.107143	-0.003606	9.000000
10	2018-11-29	2019-11-29	2019-12-02	2020-03-03	-0.722542	-0.003165	-0.011706	-0.013283	0.472813	814	24.518919	0.008108	17	0.470588	58.470588	-0.000628	5.000000
11	2019-03-05	2020-03-03	2020-03-04	2020-06-02	2.472570	0.094711	0.396708	-0.046181	0.539084	819	14.769231	0.004884	11	0.909091	91.818182	0.042732	5.000000
12	2019-06-04	2020-06-02	2020-06-03	2020-08-31	-1.610924	-0.007948	-0.029033	-0.012515	0.489826	819	35.868132	0.011861	70	0.485714	54.857143	-0.001223	14.000000
13	2019-09-03	2020-08-31	2020-09-01	2020-11-30	-0.800741	-0.003468	-0.012824	-0.007419	0.459502	814	27.597052	0.009126	27	0.481481	56.111111	-0.000503	7.000000
14	2019-12-02	2020-11-30	2020-12-01	2021-03-03	2.049894	0.012044	0.045479	-0.007236	0.523452	814	36.088452	0.011934	36	0.472222	41.250000	0.002576	7.000000
15	2020-03-04	2021-03-03	2021-03-04	2021-06-02	0.649333	0.002423	0.008974	-0.004817	0.499301	819	31.384615	0.010379	52	0.576923	57.038462	0.000911	12.000000
16	2020-06-03	2021-06-02	2021-06-03	2021-08-31	-2.947229	-0.010511	-0.038263	-0.011606	0.462585	819	24.923077	0.008242	29	0.448276	69.896552	-0.002684	8.000000
17	2020-09-01	2021-08-31	2021-09-01	2021-11-30	-0.841271	-0.004168	-0.015396	-0.010437	0.497731	814	22.289926	0.007371	27	0.407407	87.037037	-0.000946	8.000000
18	2020-12-01	2021-11-30	2021-12-01	2022-03-02	4.673810	0.026121	0.099889	-0.006336	0.538983	819	31.384615	0.010379	9	1.000000	46.222222	0.006187	2.000000
19	2021-03-04	2022-03-02	2022-03-03	2022-06-01	0.015505	0.000026	0.000098	-0.008741	0.481356	819	27.428571	0.009070	27	0.592593	56.592593	0.000376	7.000000
20	2021-06-03	2022-06-01	2022-06-02	2022-08-31	-2.683038	-0.018893	-0.068005	-0.030569	0.489474	819	16.615385	0.005495	14	0.285714	85.214286	-0.007778	6.000000
21	2021-09-01	2022-08-31	2022-09-01	2022-11-30	-0.959587	-0.005658	-0.020858	-0.009429	0.500775	814	22.289926	0.007371	28	0.571429	96.178571	-0.001411	9.000000
22	2021-12-01	2022-11-30	2022-12-01	2023-03-03	-3.245089	-0.015941	-0.057609	-0.025043	0.452991	819	16.615385	0.005495	9	0.333333	71.111111	-0.006789	4.000000
23	2022-03-03	2023-03-03	2023-03-06	2023-06-02	-2.522570	-0.013872	-0.050271	-0.016575	0.477204	819	33.969231	0.011233	24	0.416667	76.791667	-0.002586	5.000000
24	2022-06-02	2023-06-02	2023-06-05	2023-09-01	-0.667137	-0.002521	-0.009333	-0.008027	0.479608	814	22.289926	0.007371	16	0.500000	90.500000	-0.000406	5.000000
25	2022-09-01	2023-09-01	2023-09-05	2023-12-01	-1.452692	-0.008633	-0.031699	-0.009794	0.476266	814	26.933661	0.008907	15	0.400000	76.066667	-0.001895	4.000000
26	2022-12-01	2023-12-01	2023-12-04	2024-03-05	1.676304	0.005997	0.022322	-0.005397	0.522152	819	22.974359	0.007597	31	0.516129	74.677419	0.002065	9.000000
27	2023-03-06	2024-03-05	2024-03-06	2024-06-04	0.557723	0.002689	0.009964	-0.009641	0.510345	819	22.153846	0.007326	13	0.615385	75.692308	0.001263	4.000000
28	2023-06-05	2024-06-04	2024-06-05	2024-09-04	-2.123340	-0.012838	-0.046869	-0.016785	0.480858	814	22.289926	0.007371	16	0.500000	76.187500	-0.003579	5.000000
29	2023-09-05	2024-09-04	2024-09-05	2024-12-03	0.128928	0.000570	0.002119	-0.010722	0.500775	814	36.088452	0.011934	35	0.485714	50.771429	0.000422	7.000000
30	2023-12-04	2024-12-03	2024-12-04	2025-03-07	-1.780783	-0.011654	-0.042615	-0.022330	0.505922	814	47.056511	0.015561	40	0.475000	35.825000	-0.001597	6.000000
31	2024-03-06	2025-03-07	2025-03-10	2025-06-06	-0.051319	-0.001083	-0.003992	-0.023056	0.466899	819	14.769231	0.004884	11	0.545455	91.727273	-0.000009	5.000000
32	2024-06-05	2025-06-06	2025-06-09	2025-09-08	-0.779399	-0.003689	-0.013635	-0.012150	0.466346	814	23.882064	0.007898	24	0.625000	84.708333	-0.000733	7.000000
33	2024-09-05	2025-09-08	2025-09-09	2025-12-05	-0.211252	-0.000873	-0.003241	-0.009270	0.511848	814	28.233907	0.009337	40	0.475000	51.450000	0.000126	10.000000
