arm	cost_bps	sharpe	ann_return
classic	0.000000	0.919498	0.015833
classic	1.000000	0.742459	0.012736
classic	2.000000	0.565420	0.009649
classic	3.000000	0.388382	0.006571
classic	5.000000	0.034304	0.000443
classic	7.500000	-0.408293	-0.007164
classic	10.000000	-0.850890	-0.014713
autoencoder	0.000000	0.237339	0.006975
autoencoder	1.000000	0.148595	0.004177
autoencoder	2.000000	0.059851	0.001386
autoencoder	3.000000	-0.028893	-0.001397
autoencoder	5.000000	-0.206381	-0.006939
autoencoder	7.500000	-0.428242	-0.013824
autoencoder	10.000000	-0.650102	-0.020661
gru	0.000000	0.437735	0.036691
gru	1.000000	0.403419	0.033424
gru	2.000000	0.369102	0.030167
gru	3.000000	0.334785	0.026921
gru	5.000000	0.266152	0.020458
gru	7.500000	0.180361	0.012438
gru	10.000000	0.094570	0.004480
